dest	src	nlq	lq	cost
193.238.156.225	78.41.113.228	1.000	1.000	1.000
193.238.156.227	78.41.113.228	0.195	1.000	5.100
193.238.158.90	78.41.113.228	1.000	1.000	1.000
193.238.158.188	78.41.113.228	1.000	1.000	1.000
193.238.159.25	78.41.113.228	1.000	1.000	1.000
193.238.159.54	78.41.113.228	1.000	1.000	1.000
193.238.159.230	78.41.113.231	1.000	1.000	1.000
193.238.159.239	78.41.113.231	1.000	1.000	1.000
193.238.159.240	78.41.113.231	0.925	0.866	1.246
193.238.156.249	78.41.113.233	0.929	0.713	1.507
193.238.158.109	78.41.113.233	0.874	0.937	1.220
78.41.113.188	78.41.113.240	0.964	0.886	1.169
78.41.112.72	78.41.113.241	1.000	1.000	1.000
78.41.113.6	78.41.113.241	0.960	1.000	1.040
193.238.159.8	78.41.113.241	1.000	1.000	1.000
193.238.159.13	78.41.113.241	1.000	1.000	1.000
78.41.112.143	78.41.113.244	1.000	1.000	1.000
78.41.113.99	78.41.113.244	1.000	1.000	1.000
193.238.156.10	78.41.113.244	1.000	1.000	1.000
78.41.112.126	78.41.113.246	0.921	1.000	1.085
78.41.113.47	78.41.113.246	1.000	1.000	1.000
78.41.113.57	78.41.113.246	1.000	1.000	1.000
193.238.159.129	78.41.113.246	1.000	1.000	1.000
78.41.112.194	78.41.113.248	0.940	0.721	1.472
78.41.112.17	78.41.113.250	1.000	0.823	1.214
78.41.112.126	78.41.113.250	1.000	1.000	1.000
78.41.112.161	78.41.113.250	1.000	0.882	1.133
78.41.113.90	78.41.113.250	1.000	1.000	1.000
78.41.113.124	78.41.113.250	1.000	1.000	1.000
78.41.113.135	78.41.113.250	1.000	0.744	1.342
78.41.113.137	78.41.113.250	1.000	1.000	1.000
193.238.156.31	78.41.113.250	1.000	0.968	1.032
193.238.156.76	78.41.113.250	1.000	0.979	1.020
193.238.158.86	78.41.113.250	1.000	1.000	1.000
193.238.159.36	78.41.113.250	1.000	1.000	1.000
78.41.112.124	193.238.156.3	1.000	1.000	1.000
193.238.156.51	193.238.156.3	1.000	0.882	1.133
193.238.156.184	193.238.156.3	1.000	0.521	1.917
193.238.158.244	193.238.156.3	1.000	1.000	1.000
